Date,New York Times,CNN,FOX,New York Post,BBC,Washington Post,USA Today,Daily Mail,CNBC,The Guardian
20070101,True,True,True,False,False,True,False,True,True,True
20070102,True,True,True,False,False,True,False,True,True,True
20070103,True,True,True,False,False,True,False,True,True,True
20070104,True,True,True,False,False,True,False,True,True,True
20070105,True,True,True,False,False,True,False,True,True,True
20070106,True,True,True,False,False,True,False,True,True,True
20070107,True,True,True,False,False,True,False,True,True,True
20070108,True,True,True,False,False,True,False,True,True,True
20070109,True,True,True,False,False,True,False,True,True,True
20070110,True,True,True,False,False,True,False,True,True,True
20070111,True,True,True,False,False,True,False,True,True,True
20070112,True,True,True,False,False,True,False,True,True,True
20070113,True,True,True,False,False,True,False,True,True,True
20070114,True,True,True,False,False,True,False,True,True,True
20070115,True,True,True,False,False,True,False,True,True,True
20070116,True,True,True,False,False,True,False,True,True,True
20070117,True,True,True,False,False,True,False,True,True,True
20070118,True,True,True,False,False,True,False,True,True,True
20070119,True,True,True,False,False,True,False,True,True,True
20070120,True,True,True,False,False,True,False,True,True,True
20070121,True,True,True,False,False,True,False,True,True,True
20070122,True,True,True,False,False,True,False,True,True,True
20070123,True,True,True,False,False,True,False,True,True,True
20070124,True,True,True,False,False,True,False,True,True,True
20070125,True,True,True,False,False,True,False,True,True,True
20070126,True,True,True,False,False,True,False,True,True,True
20070127,True,True,True,False,False,True,False,True,True,True
20070128,True,True,True,False,False,True,False,True,True,True
20070129,True,True,True,False,False,True,False,True,True,True
20070130,True,True,True,False,False,True,False,True,True,True
20070131,True,True,True,False,False,True,False,True,True,True
20070201,True,True,True,False,False,True,False,True,True,True
20070202,True,True,True,False,False,True,False,True,True,True
20070203,True,True,True,False,False,True,False,True,True,True
20070204,True,True,True,False,False,True,False,True,True,True
20070205,True,True,True,False,False,True,False,True,True,True
20070206,True,True,True,False,False,True,False,True,True,True
20070207,True,True,True,False,False,True,False,True,True,True
20070208,True,True,True,False,False,True,False,True,True,True
20070209,True,True,True,False,False,True,False,True,True,True
20070210,True,True,True,False,False,True,False,True,True,True
20070211,True,True,True,False,False,True,False,True,True,True
20070212,True,True,True,False,False,True,False,True,True,True
20070213,True,True,True,False,False,True,False,True,True,True
20070214,True,True,True,False,False,True,False,True,True,True
20070215,True,True,True,False,False,True,False,True,True,True
20070216,True,True,True,False,False,True,False,True,True,True
20070217,True,True,True,False,False,True,False,True,True,True
20070218,True,True,True,False,False,True,False,True,True,True
20070219,True,True,True,False,False,True,False,True,True,True
20070220,True,True,True,False,False,True,False,True,True,True
20070221,True,True,True,False,False,True,False,True,True,True
20070222,True,True,True,False,False,True,False,True,True,True
20070223,True,True,True,False,False,True,False,True,True,True
20070224,True,True,True,False,False,True,False,True,True,True
20070225,True,True,True,False,False,True,False,True,True,True
20070226,True,True,True,False,False,True,False,True,True,True
20070227,True,True,True,False,False,True,False,True,True,True
20070228,True,True,True,False,False,True,False,True,True,True
20070301,True,True,True,False,False,True,False,True,True,True
20070302,True,True,True,False,False,True,False,True,True,True
20070303,True,True,True,False,False,True,False,True,True,True
20070304,True,True,True,False,False,True,False,True,True,True
20070305,True,True,True,False,False,True,False,True,True,True
20070306,True,True,True,False,False,True,False,True,True,True
20070307,True,True,True,False,False,True,False,True,True,True
20070308,True,True,True,False,False,True,False,True,True,True
20070309,True,True,True,False,False,True,False,True,True,True
20070310,True,True,True,False,False,True,False,True,True,True
20070311,True,True,True,False,False,True,False,True,True,True
20070312,True,True,True,False,False,True,False,True,True,True
20070313,True,True,True,False,False,True,False,True,True,True
20070314,True,True,True,False,False,True,False,True,True,True
20070315,True,True,True,False,False,True,False,True,True,True
20070316,True,True,True,False,False,True,False,True,True,True
20070317,True,True,True,False,False,True,False,True,True,True
20070318,True,True,True,False,False,True,False,True,True,True
20070319,True,True,True,False,False,True,False,True,True,True
20070320,True,True,True,False,False,True,False,True,True,True
20070321,True,True,True,False,False,True,False,True,True,True
20070322,True,True,True,False,False,True,False,True,True,True
20070323,True,True,True,False,False,True,False,True,True,True
20070324,True,True,True,False,False,True,False,True,True,True
20070325,True,True,True,False,False,True,False,True,True,True
20070326,True,True,True,False,False,True,False,True,True,True
20070327,True,True,True,False,False,True,False,True,True,True
20070328,True,True,True,False,False,True,False,True,True,True
20070329,True,True,True,False,False,True,False,True,True,True
20070330,True,True,True,False,False,True,False,True,True,True
20070331,True,True,True,False,False,True,False,True,True,True
20070401,True,True,True,False,False,True,False,True,True,True
20070402,True,True,True,False,False,True,False,True,True,True
20070403,True,True,True,False,False,True,False,True,True,True
20070404,True,True,True,False,False,True,False,True,True,True
20070405,True,True,True,False,False,True,False,True,True,True
20070406,True,True,True,False,False,True,False,True,True,True
20070407,True,True,True,False,False,True,False,True,True,True
20070408,True,True,True,False,False,True,False,True,True,True
20070409,True,True,True,False,False,True,False,True,True,True
20070410,True,True,True,False,False,True,False,True,True,True
20070411,True,True,True,False,False,True,False,True,True,True
20070412,True,True,True,False,False,True,False,True,True,True
20070413,True,True,True,False,False,True,False,True,True,True
20070414,True,True,True,False,False,True,False,True,True,True
20070415,True,True,True,False,False,True,False,True,True,True
20070416,True,True,True,False,False,True,False,True,True,True
20070417,True,True,True,False,False,True,False,True,True,True
20070418,True,True,True,False,False,True,False,True,True,True
20070419,True,True,True,False,False,True,False,True,True,True
20070420,True,True,True,False,False,True,False,True,True,True
20070421,True,True,True,False,False,True,False,True,True,True
20070422,True,True,True,False,False,True,False,True,True,True
20070423,True,True,True,False,False,True,False,True,True,True
20070424,True,True,True,False,False,True,False,True,True,True
20070425,True,True,True,False,False,True,False,True,True,True
20070426,True,True,True,False,False,True,False,True,True,True
20070427,True,True,True,False,False,True,False,True,True,True
20070428,True,True,True,False,False,True,False,True,True,True
20070429,True,True,True,False,False,True,False,True,True,True
20070430,True,True,True,False,False,True,False,True,True,True
20070501,True,True,True,False,False,True,False,True,True,True
20070502,True,True,True,False,False,True,False,True,True,True
20070503,True,True,True,False,False,True,False,True,True,True
20070504,True,True,True,False,False,True,False,True,True,True
20070505,True,True,True,False,False,True,False,True,True,True
20070506,True,True,True,False,False,True,False,True,True,True
20070507,True,True,True,False,False,True,False,True,True,True
20070508,True,True,True,False,False,True,False,True,True,True
20070509,True,True,True,False,False,True,False,True,True,True
20070510,True,True,True,False,False,True,False,True,True,True
20070511,True,True,True,False,False,True,False,True,True,True
20070512,True,True,True,False,False,True,False,True,True,True
20070513,True,True,True,False,False,True,False,True,True,True
20070514,True,True,True,False,False,True,False,True,True,True
20070515,True,True,True,False,False,True,False,True,True,True
20070516,True,True,True,False,False,True,False,True,True,True
20070517,True,True,True,False,False,True,False,True,True,True
20070518,True,True,True,False,False,True,False,True,True,True
20070519,True,True,True,False,False,True,False,True,True,True
20070520,True,True,True,False,False,True,False,True,True,True
20070521,True,True,True,False,False,True,False,True,True,True
20070522,True,True,True,False,False,True,False,True,True,True
20070523,True,True,True,False,False,True,False,True,True,True
20070524,True,True,True,False,False,True,False,True,True,True
20070525,True,True,True,False,False,True,False,True,True,True
20070526,True,True,True,False,False,True,False,True,True,True
20070527,True,True,True,False,False,True,False,True,True,True
20070528,True,True,True,False,False,True,False,True,True,True
20070529,True,True,True,False,False,True,False,True,True,True
20070530,True,True,True,False,False,True,False,True,True,True
20070531,True,True,True,False,False,True,False,True,True,True
20070601,True,True,True,False,False,True,False,True,True,True
20070602,True,True,True,False,False,True,False,True,True,True
20070603,True,True,True,False,False,True,False,True,True,True
20070604,True,True,True,False,False,True,False,True,True,True
20070605,True,True,True,False,False,True,False,True,True,True
20070606,True,True,True,False,False,True,False,True,True,True
20070607,True,True,True,False,False,True,False,True,True,True
20070608,True,True,True,False,False,True,False,True,True,True
20070609,True,True,True,False,False,True,False,True,True,True
20070610,True,True,True,False,False,True,False,True,True,True
20070611,True,True,True,False,False,True,False,True,True,True
20070612,True,True,True,False,False,True,False,True,True,True
20070613,True,True,True,False,False,True,False,True,True,True
20070614,True,True,True,False,False,True,False,True,True,True
20070615,True,True,True,False,False,True,False,True,True,True
20070616,True,True,True,False,False,True,False,True,True,True
20070617,True,True,True,False,False,True,False,True,True,True
20070618,True,True,True,False,False,True,False,True,True,True
20070619,True,True,True,False,False,True,False,True,True,True
20070620,True,True,True,False,False,True,False,True,True,True
20070621,True,True,True,False,False,True,False,True,True,True
20070622,True,True,True,False,False,True,False,True,True,True
20070623,True,True,True,False,False,True,False,True,True,True
20070624,True,True,True,False,False,True,False,True,True,True
20070625,True,True,True,False,False,True,False,True,True,True
20070626,True,True,True,False,False,True,False,True,True,True
20070627,True,True,True,False,False,True,False,True,True,True
20070628,True,True,True,False,False,True,False,True,True,True
20070629,True,True,True,False,False,True,False,True,True,True
20070630,True,True,True,False,False,True,False,True,True,True
20070701,True,True,True,False,False,True,False,True,True,True
20070702,True,True,True,False,False,True,False,True,True,True
20070703,True,True,True,False,False,True,False,True,True,True
20070704,True,True,True,False,False,True,False,True,True,True
20070705,True,True,True,False,False,True,False,True,True,True
20070706,True,True,True,False,False,True,False,True,True,True
20070707,True,True,True,False,False,True,False,True,True,True
20070708,True,True,True,False,False,True,False,True,True,True
20070709,True,True,True,False,False,True,False,True,True,True
20070710,True,True,True,False,False,True,False,True,True,True
20070711,True,True,True,False,False,True,False,True,True,True
20070712,True,True,True,False,False,True,False,True,True,True
20070713,True,True,True,False,False,True,False,True,True,True
20070714,True,True,True,False,False,True,False,True,True,True
20070715,True,True,True,False,False,True,False,True,True,True
20070716,True,True,True,False,False,True,False,True,True,True
20070717,True,True,True,False,False,True,False,True,True,True
20070718,True,True,True,False,False,True,False,True,True,True
20070719,True,True,True,False,False,True,False,True,True,True
20070720,True,True,False,False,False,True,False,True,True,True
20070721,True,True,False,False,False,True,False,True,True,True
20070722,True,True,False,False,False,True,False,True,True,True
20070723,True,True,False,False,False,True,False,True,True,True
20070724,True,True,False,False,False,True,False,True,True,True
20070725,True,True,True,False,False,True,False,True,True,True
20070726,True,True,True,False,False,True,False,True,True,True
20070727,True,True,True,False,False,True,False,True,True,True
20070728,True,True,True,False,False,True,False,True,True,True
20070729,True,True,True,False,False,True,False,True,True,True
20070730,True,True,True,False,False,True,False,True,True,True
20070731,True,True,True,False,False,True,False,True,True,True
20070801,True,True,True,False,False,True,False,True,True,True
20070802,True,True,True,False,False,True,False,True,True,True
20070803,True,True,True,False,False,True,False,True,True,True
20070804,True,True,True,False,False,True,False,True,True,True
20070805,True,True,True,False,False,True,False,True,True,True
20070806,True,True,True,False,False,True,False,True,True,True
20070807,True,True,True,False,False,True,False,True,True,True
20070808,True,True,True,False,False,True,False,True,True,True
20070809,True,True,True,False,False,True,False,True,True,True
20070810,True,True,True,False,False,True,False,True,True,True
20070811,True,True,True,False,False,True,False,True,True,True
20070812,True,True,True,False,False,True,False,True,True,True
20070813,True,True,True,False,False,True,False,True,True,True
20070814,True,True,True,False,False,True,False,True,True,True
20070815,True,False,True,False,False,True,False,True,True,True
20070816,True,True,True,False,False,True,False,True,True,True
20070817,True,True,True,False,False,True,False,True,True,True
20070818,True,True,True,False,False,True,False,True,True,True
20070819,True,True,True,False,False,True,False,True,True,True
20070820,True,True,True,False,False,True,False,True,True,True
20070821,True,True,True,False,False,True,False,True,True,True
20070822,True,True,True,False,False,True,False,True,True,True
20070823,True,True,True,False,False,True,False,True,True,True
20070824,True,True,True,False,False,True,False,True,True,True
20070825,True,True,True,False,False,True,False,True,True,True
20070826,True,True,True,False,False,True,False,True,True,True
20070827,True,True,True,False,False,True,False,True,True,True
20070828,True,True,True,False,False,True,False,True,True,True
20070829,True,True,True,False,False,True,False,True,True,True
20070830,True,True,True,False,False,True,False,True,True,True
20070831,True,True,True,False,False,True,False,True,True,True
20070901,True,True,True,False,False,True,False,True,True,True
20070902,True,True,True,False,False,True,False,True,True,True
20070903,True,True,True,False,False,True,False,True,True,True
20070904,True,True,True,False,False,True,False,True,True,True
20070905,True,True,True,False,False,True,False,True,True,True
20070906,True,True,True,False,False,True,False,True,True,True
20070907,True,True,True,False,False,True,False,True,True,True
20070908,True,True,True,False,False,True,False,True,True,True
20070909,True,True,True,False,False,True,False,True,True,True
20070910,True,True,True,False,False,True,False,True,True,True
20070911,True,True,True,False,False,True,False,True,True,True
20070912,True,True,True,False,False,True,False,True,True,True
20070913,True,True,True,False,False,True,False,True,True,True
20070914,True,True,True,False,False,True,False,True,True,True
20070915,True,True,True,False,False,True,False,True,True,True
20070916,True,True,True,False,False,True,False,True,True,True
20070917,True,True,True,False,False,True,False,True,True,True
20070918,True,True,True,False,False,True,False,True,True,True
20070919,True,True,True,False,False,True,False,True,True,True
20070920,True,True,True,False,False,True,False,True,True,True
20070921,True,True,True,False,False,True,False,True,True,True
20070922,True,True,True,False,False,True,False,True,True,True
20070923,True,True,True,False,False,True,False,True,True,True
20070924,True,True,True,False,False,True,False,True,True,True
20070925,True,True,True,False,False,True,False,True,True,True
20070926,True,True,True,False,False,True,False,True,True,True
20070927,True,True,True,False,False,True,False,True,True,True
20070928,True,True,True,False,False,True,False,True,True,True
20070929,True,True,True,False,False,True,False,True,True,True
20070930,True,True,True,False,False,True,False,True,True,True
20071001,True,True,True,False,False,True,False,True,True,True
20071002,True,True,True,False,False,True,False,True,True,True
20071003,True,True,True,False,False,True,False,True,True,True
20071004,True,True,True,False,False,True,False,True,True,True
20071005,True,True,True,False,False,True,False,True,True,True
20071006,True,True,True,False,False,True,False,True,True,True
20071007,True,True,True,False,False,True,False,True,True,True
20071008,True,True,True,False,False,True,False,True,True,True
20071009,True,True,True,False,False,True,False,True,True,True
20071010,True,True,True,False,False,True,False,True,True,True
20071011,True,True,True,False,False,True,False,True,True,True
20071012,True,True,True,False,False,True,False,True,True,True
20071013,True,True,True,False,False,True,False,True,True,True
20071014,True,True,True,False,False,True,False,True,True,True
20071015,True,True,True,False,False,True,False,True,True,True
20071016,True,True,True,False,False,True,False,True,True,True
20071017,True,True,True,False,False,True,False,True,True,True
20071018,True,True,True,False,False,True,False,True,True,True
20071019,True,True,True,False,False,True,False,True,True,True
20071020,True,True,True,False,False,True,False,True,True,True
20071021,True,True,True,False,False,True,False,True,True,True
20071022,True,True,True,False,False,True,False,True,True,True
20071023,True,True,True,False,False,True,False,True,True,True
20071024,True,True,True,False,False,True,False,True,True,True
20071025,True,True,True,False,False,True,False,True,True,True
20071026,True,True,True,False,False,True,False,True,True,True
20071027,True,True,True,False,False,True,False,True,True,True
20071028,True,True,True,False,False,True,False,True,True,True
20071029,True,True,True,False,False,True,False,True,True,True
20071030,True,True,True,False,False,True,False,True,True,True
20071031,True,True,True,False,False,True,False,True,True,True
20071101,True,True,True,False,False,True,False,True,True,True
20071102,True,True,True,False,False,True,False,True,True,True
20071103,True,True,True,False,False,True,False,True,True,True
20071104,True,True,True,False,False,True,False,True,True,True
20071105,True,True,True,False,False,True,False,True,True,True
20071106,True,True,True,False,False,True,False,True,True,True
20071107,True,True,True,False,False,True,False,True,True,True
20071108,True,True,True,False,False,True,False,True,True,True
20071109,True,True,True,False,False,True,False,True,True,True
20071110,True,True,True,False,False,True,False,True,True,True
20071111,True,True,True,False,False,True,False,True,True,True
20071112,True,True,True,False,False,True,False,True,True,True
20071113,True,True,True,False,False,True,False,True,True,True
20071114,True,True,True,False,False,True,False,True,True,True
20071115,True,True,True,False,False,True,False,True,True,True
20071116,True,True,True,False,False,True,False,True,True,True
20071117,True,True,True,False,False,True,False,True,True,True
20071118,True,True,True,False,False,True,False,True,True,True
20071119,True,True,True,False,False,True,False,True,True,True
20071120,True,True,True,False,False,True,False,True,True,True
20071121,True,True,True,False,False,True,False,True,True,True
20071122,True,True,True,False,False,True,False,True,True,True
20071123,True,True,True,False,False,True,False,True,True,True
20071124,True,True,True,False,False,True,False,True,True,True
20071125,True,True,True,False,False,True,False,True,True,True
20071126,True,True,True,False,False,True,False,True,True,True
20071127,True,True,True,False,False,True,False,True,True,True
20071128,True,True,True,False,False,True,False,True,True,True
